88.931	38.988	1.56	8.06	0.01	0.1	0.12	0.36	0	0	0	I400
89.196	38.717	1.58	8.12	-0.5	0.08	0.09	0.26	0	0	0	G172
89.557	38.517	2.75	9.23	-0.36	0.1	0.1	0.24	0	0	0	G322
89.868	38.439	3.3	9.05	-1.13	0.09	0.09	0.16	0	0	0	G324
90.102	38.351	6.23	10.4	-0.77	0.23	0.13	0.37	0	0	0	G326
90.269	38.286	6.63	10.48	0.72	0.17	0.13	0.36	0	0	0	G328
90.728	38.869	2.9	7.49	-1.08	0.14	0.08	0.24	0	0	0	G316
90.801	38.475	6.07	9.82	0.76	0.15	0.2	0.9	0	0	0	QHMY
90.804	38.287	8.2	9.88	-0.64	0.21	0.15	0.49	0	0	0	G171
90.982	38.588	7.04	8.8	0.39	0.19	0.12	0.3	0	0	0	JB32
91.33	41.015	3.25	6.47	-0.17	0.11	0.09	0.17	0	0	0	I389
91.497	38.758	6.62	7.6	-1.27	0.16	0.09	0.23	0	0	0	G319
91.677	37.853	9.04	11.1	-0.59	0.1	0.1	0.42	0	0	0	G335
92.419	38.072	8.47	8.7	-0.13	0.16	0.11	0.3	0	0	0	G332
93.003	39.287	4.15	5.65	-0.89	0.17	0.11	0.2	0	0	0	G165
93.331	38.744	5.54	4.91	2.55	0.16	0.28	0.6	0	0	0	QHLH
93.412	38.809	6.19	5.93	1.6	0.26	0.14	0.43	0	0	0	JB31
93.425	38.533	6.47	5.67	2.26	0.12	0.08	0.28	0	0	0	G323
93.489	39.645	2.85	5.06	1.16	0.16	0.1	0.32	0	0	0	G163
93.499	37.902	8.07	7.62	1.19	0.17	0.08	0.3	0	0	0	G170
